book_id;book_name;author;edition_year;age_restriction;number_pages;genre;link;annotation;image;
5969872;АРЕАЛ. Один в поле не воин. Что посеешь;Сергей Тармашев;2021;16+;736;Боевая фантастика;https://book24.ru/product/areal-odin-v-pole-ne-voin-chto-poseesh-5969872/;;https://cdn.book24.ru/v2/ASE000000000858532/COVER/cover13d__w410.jpg;
6065052;Женщины;Чарльз Буковски;2022;16+;4;Художественная литература;https://book24.ru/product/zhenshchiny-6065052/;;https://cdn.book24.ru/v2/ITD000000001252658/COVER/cover13d__w410.jpg;
6136347;Шпаргалка ленивого огородника. Все самое важное в таблицах;Ольга Воронова;2022;12+;32;Справочники садовода и огородника;https://book24.ru/product/shpargalka-lenivogo-ogorodnika-vse-samoe-vazhnoe-v-tablitsakh-6136347/;Все самое важное для дачников в удобном формате! Шпаргалка для дачников на весь сезон поможет определиться со сроками высадки на рассаду, устранить любые возможные проблемы уже на этапе всходов с помощью органических подкормок, подскажет какие условия высадки рассады в теплицу или открытый грунт необходимы и какие растения вместе лучше не сажать. Авторские рекомендации содержат названия биологических подкормок, которые помогут вырастить не только богатый, но и качественный урожай без химии.;https://cdn.book24.ru/v2/ITD000000001248813/COVER/cover13d__w410.jpg;
5968019;Я — женщина. Календарь настенный на 2022 год (300х300 мм);Круглова Ольга;2021;12+;28;Календари 2022;https://book24.ru/product/ya-zhenshchina-kalendar-nastennyy-na-2022-god-300kh300-mm-5968019/;;https://cdn.book24.ru/v2/ITD000000001152459/COVER/cover13d__w410.jpg;
5961652;Господин мертвец. Том 1;Константин Соловьев;2021;16+;640;Боевая фантастика;https://book24.ru/product/gospodin-mertvets-tom-1-5961652/;;https://cdn.book24.ru/v2/ITD000000001155162/COVER/cover13d__w410.jpg;
6047065;Карнавал лжи;Евгения Сафонова;2022;16+;512;Русское фэнтези;https://book24.ru/product/karnaval-lzhi-6047065/;;//ndc.book24.ru/resize/410x590/iblock/649/649a506dc650346f3446c536b8d207fc/310df6df2f9700fe7a67df975a960013.jpg;
6009404;Рожденная желать. Женская сила в реализации желаний;Наталья Покатилова;2021;16+;320;Популярная психология;https://book24.ru/product/rozhdennaya-zhelat-zhenskaya-sila-v-realizatsii-zhelaniy-6009404/;Любовь, покой, состояние гармонии — важнейшие признаки истинной женской природы, которые вдохновляют и дарят мир и уют. Любовь — предназначение женщины, ее миссия и тайна. А у любящей и любимой женщины всегда есть женская сила, реализующая ее планы и истинные желания. Такой женщине все достается легко и без усилий. И для того, чтобы освободить вас от ига достижений и подвигов, выживания, глубинной неудовлетворенности жизнью и отсутствия счастья, Наталья Покатилова создала специально для вас эту чудесным образом меняющую жизнь книгу. Здесь собраны самые важные практики: – выстраивания энергетики по женскому типу; – развития интуиции; – расслабления и покоя; – восстановления женского центра; – комфорта и освобождения от значимости результата и многие другие.;https://cdn.book24.ru/v2/ASE000000000860014/COVER/cover13d__w410.jpg;
6064958;Нумерология. Самое современное руководство. Числовые коды вашей судьбы, возможностей и отношений;Джой Вудворд;2022;16+;288;Нумерология;https://book24.ru/product/numerologiya-samoe-sovremennoe-rukovodstvo-chislovye-kody-vashey-sudby-vozmozhnostey-i-otnosheniy-6064958/;Перед вами самое современное руководство по нумерологии от мастера с мировым именем — Джой Вудворд. Эта книга несколько лет занимает первые строчки рейтингов на сайте Amazon, получила более 1500 отзывов читателей и считается одной из лучших книг по теме.  Вы научитесь видеть и расшифровывать важные числа в вашей жизни, жизни ваших друзей и семьи. Вы сможете составить полный личный код, узнаете, что такое код души, зрелости, жизненного пути и кармы, познакомитесь с нумерологией совместимости и отношений. Вычислив важнейшие числа вашей судьбы, вы сможете использовать их в астрологии, Таро, работе с кристаллами и лунными циклами, чтобы делать точные предсказания, эффективнее управлять своей жизнью, улучшать отношения и развивать интуицию.;https://cdn.book24.ru/v2/ASE000000000857819/COVER/cover13d__w410.jpg;
6063123;Царство Проклятых;Керри Манискалко;2022;18+;576;Любовное фэнтези;https://book24.ru/product/tsarstvo-proklyatykh-6063123/;;https://cdn.book24.ru/v2/ASE000000000860420/COVER/cover13d__w410.jpg;
5951390;О смерти и умирании;Элизабет Кюблер-Росс;2021;16+;416;Западная философия;https://book24.ru/product/o-smerti-i-umiranii-5951390/;;https://cdn.book24.ru/v2/ASE000000000854102/COVER/cover13d__w410.jpg;
6018175;Царица темной реки;Александр Бушков;2021;16+;320;Триллеры;https://book24.ru/product/tsaritsa-temnoy-reki-6018175/;;https://cdn.book24.ru/v2/ITD000000001136779/COVER/cover13d__w410.jpg;
6064846;Ректор на выданье;Лидия Миленина;2022;16+;320;Магические академии;https://book24.ru/product/rektor-na-vydane-6064846/;;https://cdn.book24.ru/v2/ASE000000000862721/COVER/cover13d__w410.jpg;
